Timestamp,Continent,Texas,Undergrad,Computer,Tablet,Phone,Sports,Humor,R,Python,Programming,Queso,Band,LikeMath,Siblings,Belts,Street,ChatGPT,Claude
8/28/2024 20:56:44,North America,Yes,Communications,Mac,None,iPhone,Yes,Yes,No,No,No,Kirby Lane's,Renee Rapp,8,2,2,NA,None,No
8/28/2024 21:15:39,North America,Yes,Communications,Mac,None,iPhone,Yes,Very yes,No,No,No,Kirby Lane's,Aritzia,2,6,2,Greenbrier,Some,No
8/28/2024 21:16:16,North America,No,Business,Mac,None,iPhone,Yes,Very yes,No,No,No,Torchy's,One Direction,7,4,0,21st Street,A lot,No
8/28/2024 21:27:54,North America,No,Business,Mac,ipad,iPhone,Yes,Yes,No,No,No,Torchy's,,3,2,3,NA,Can't live without it,No
8/28/2024 23:34:32,North America,No,Science,Mac,ipad,iPhone,Yes,Yes,Yes,No,No,Torchy's,måneskin,5,4,3,NA,A lot,No
8/29/2024 8:37:25,North America,Yes,Business,Windows,ipad,iPhone,Yes,Very yes,No,No,No,Torchy's,Lululemon,10,3,2,Ivystone court ,Some,No
8/29/2024 10:56:03,North America,Yes,Communications,Mac,None,iPhone,Yes,Yes,No,No,No,Torchy's,Staud,4,2,4,Mandalay,Some,No
8/29/2024 12:01:23,Asia,No,Communications,Mac,ipad,iPhone,Yes,Yes,No,Yes,Yes,Torchy's,Cage the Elephant,0,1,1,Shakespearean Way,A lot,No
8/29/2024 13:42:36,North America,Yes,Business,Mac,ipad,iPhone,Yes,Yes,No,No,No,Torchy's,Lululemon ,4,1,1,NA,Some,No
8/29/2024 15:33:05,South America,No,Science,Mac,ipad,iPhone,Yes,Yes,No,No,No,Torchy's,Maná,7,2,4,NA,A lot,No
8/29/2024 15:33:22,North America,No,Business,Windows,None,iPhone,Yes,Very yes,No,No,No,Torchy's,F1,7,0,5,NA,A lot,Yes
8/29/2024 15:33:31,Asia,No,Communications,Windows,None,iPhone,Yes,Yes,Yes,Yes,Yes,Torchy's,Diseny,5,1,0,NA,Some,No
8/29/2024 15:33:52,North America,Yes,Communications,Mac,ipad,iPhone,Yes,Very yes,No,No,No,Torchy's,one direction,4,1,0,NA,A lot,No
8/29/2024 16:09:26,North America,Yes,Liberal arts,Windows,None,iPhone,Yes,Very yes,No,No,No,Torchy's,Arctic Monkeys,6,1,2,N/A,Some,Yes
